uri,artist_id,image,release_date,duration,sound,genre,acoustic,dance,energy,instrumental,key,live,loud,speech,tempo,time_signature,valence
4xD3DFKtDy9JkOOxcsTy3r,07h4CCFmlXkwx0g4PL5Uuh,ab67616d00001e02e9fc73f51728db6acf0d3304,2021-11-04,179226.0,d954e5959a793ecce0c86a11702abcf8291eb111?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.154,0.637,0.678,8.12e-05,2,0.0836,-6.777,0.289,128.882,4,0.568
4XDePuGEy7UDwhaM9cFOzF,1cA379ILgR07m7XQVXyP6Q,ab67616d00001e0266b88645240f7b384258b5cb,2020-03-06,166680.0,376166c764d2cc91980053c713b58851d577b9f1?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.732,0.866,0.741,0.000163,0,0.107,-7.544,0.326,130.017,4,0.418
4XEYHjp86yaGfZOGT8CqPV,3DCWeG2J1fZeu0Oe6i5Q6m,ab67616d00001e02ab779f2adb1007f0321ecab8,2020-08-28,234373.0,cc4262c22fde3d22b3b38644e386f56deade68d4?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.261,0.748,0.731,0.0,11,0.0811,-6.558,0.0803,126.992,4,0.686
4XGgqKXA0IB389qlYmsKDT,1ntQKIMIgESKpKoNXVBvQg,ab67616d00001e023ed0a795f8438f6a006cc7bc,2017-11-03,197720.0,,rap,0.397,0.809,0.705,0.0,3,0.0832,-6.933,0.0776,103.999,4,0.663
4xhsWYTOGcal8zt0J161CU,2LIk90788K0zvyj2JJVwkJ,ab67616d00001e02fcf4adae77baba5d0169e8e8,2023-11-10,138411.0,eeeb6151d0049367b3ad3db0389e9e3b116c0774?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.0026,0.943,0.558,2.19e-06,2,0.0937,-4.911,0.0568,104.983,4,0.606
4xIhSUJantE6BMl3u8dtCJ,2YZyLoL8N0Wb9xBt1NhZWg,ab67616d00001e02f30764d5fa1e439ad6a7742f,2022-05-13,222497.0,,rap,0.181,0.514,0.779,0.0,10,0.099,-4.365,0.344,152.869,4,0.517
4XJ0RCVQhavXunjN3maJ8V,2s7fZ34RK8RUJQ2ewsh6I5,ab67616d00001e020f6bd3ca9a2ecadaabbc14a1,2019-04-05,202286.0,,rap,0.647,0.774,0.689,0.0,1,0.0766,-5.278,0.156,109.976,4,0.71
4xjvoMd6pgF1D0NR5Q7IBM,1SxuyHZnLUFyFHGzdGaxZk,ab67616d00001e027fbdfe62df888ed4cf71716e,2020-09-25,178680.0,,r&b,0.305,0.928,0.581,0.0,4,0.108,-4.398,0.0628,108.977,4,0.465
4XkeMvQuwKWMrXu0iy54sF,2k8fAJK9HbH1FhqVpZL98P,ab67616d00001e026f762c2ed3b269f2fe9be0b7,2018-02-02,181386.0,,rap,0.587,0.72,0.82,0.0,3,0.273,-4.963,0.185,120.051,4,0.724
4XKEvxRhlXfweifksQfWsX,7xNYY1Zkb1vks5m9ATlJok,ab67616d00001e02d038ad81ca0a422e45caff99,2020-11-13,164293.0,49b7cf887a2685eac381bc99e2d39ee3621fa467?cid=8e0ce36364d143bab6ff99cbe736c94c,r&b,0.554,0.828,0.467,0.0,9,0.068,-9.913,0.251,132.039,4,0.504
4xLK2cqKVeCAeIxhNh2yai,20amiDsCI5EwB6xy37h44k,ab67616d00001e020c70acd8e912173bcf47b14b,2017-11-10,171386.0,4db15f748f98b6fb13233f1fd02a9135ca4b6260?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.56,0.699,0.946,0.0,9,0.182,-3.922,0.0438,89.996,4,0.493
4xlNVVbZUqMMZPKM2ZLI7A,4WnAHZz1pgl8hus8hidIRV,ab67616d00001e0225b97193b8569dda5c420bc7,2018-06-19,164153.0,,r&b,0.0901,0.911,0.754,0.000993,0,0.0905,-6.622,0.0645,123.046,4,0.334
